time,power
2024-11-23 17:23:51.741264,196
2024-11-23 17:23:56.319372,194
2024-11-23 17:24:01.370920,221
2024-11-23 17:24:11.434107,206
2024-11-23 17:24:13.969040,263
2024-11-23 17:24:18.547483,244
2024-11-23 17:24:23.598019,253
2024-11-23 17:24:28.715539,244
2024-11-23 17:24:33.739171,234
2024-11-23 17:24:38.842105,233
2024-11-23 17:24:43.895685,244
2024-11-23 17:24:48.913873,213
2024-11-23 17:24:53.984425,213
2024-11-23 17:24:58.498561,214
2024-11-23 17:25:03.567112,214
2024-11-23 17:25:08.622693,204
2024-11-23 17:25:13.659299,212
2024-11-23 17:25:18.679896,220
2024-11-23 17:25:23.775403,213
2024-11-23 17:25:28.821024,197
2024-11-23 17:25:33.842671,549
2024-11-23 17:25:38.878213,300
2024-11-23 17:25:43.480255,309
2024-11-23 17:25:48.577792,330
2024-11-23 17:25:53.611403,315
2024-11-23 17:25:58.734901,301
2024-11-23 17:26:03.722528,343
2024-11-23 17:26:08.753139,332
2024-11-23 17:26:13.828711,309
2024-11-23 17:26:18.894273,301
2024-11-23 17:26:24.079686,345
2024-11-23 17:26:28.608794,363
2024-11-23 17:26:33.706378,370
2024-11-23 17:26:38.736955,382
2024-11-23 17:26:43.772534,409
2024-11-23 17:26:48.865103,404
2024-11-23 17:26:53.934682,395
2024-11-23 17:26:59.000257,386
2024-11-23 17:27:03.556397,384
2024-11-23 17:27:08.634938,377
2024-11-23 17:27:13.651627,378
2024-11-23 17:27:18.690294,331
2024-11-23 17:27:23.748838,320
2024-11-23 17:27:28.847355,328
2024-11-23 17:27:33.876921,339
2024-11-23 17:27:38.985482,325
2024-11-23 17:27:48.614107,334
2024-11-23 17:27:51.115414,339
2024-11-23 17:27:56.158989,373
2024-11-23 17:28:00.761069,351
2024-11-23 17:28:05.905164,328
2024-11-23 17:28:11.027043,321
2024-11-23 17:28:16.032627,344
2024-11-23 17:28:21.117202,348
2024-11-23 17:28:26.669269,343
2024-11-23 17:28:30.746859,333
2024-11-23 17:28:35.775477,320
2024-11-23 17:28:40.840087,332
2024-11-23 17:28:45.893617,597
2024-11-23 17:28:50.960153,561
2024-11-23 17:28:56.063678,548
2024-11-23 17:29:01.124378,559
2024-11-23 17:29:05.704502,533
2024-11-23 17:29:10.722173,540
2024-11-23 17:29:15.931602,525
2024-11-23 17:29:21.012177,555
2024-11-23 17:29:26.058772,544
2024-11-23 17:29:31.117294,518
2024-11-23 17:29:36.187914,544
2024-11-23 17:29:40.740072,519
2024-11-23 17:29:45.777008,516
2024-11-23 17:29:50.855314,519
2024-11-23 17:29:55.881919,515
2024-11-23 17:30:01.019378,514
2024-11-23 17:30:06.097930,513
2024-11-23 17:30:11.150963,513
2024-11-23 17:30:15.665654,513
2024-11-23 17:30:20.688258,512
2024-11-23 17:30:23.650037,514
2024-11-23 17:30:30.873327,553
2024-11-23 17:30:35.928907,523
2024-11-23 17:30:41.007474,517
2024-11-23 17:30:46.080694,522
2024-11-23 17:30:51.148568,523
2024-11-23 17:30:55.758407,519
2024-11-23 17:31:00.836179,515
2024-11-23 17:31:05.922695,563
2024-11-23 17:31:11.049241,559
2024-11-23 17:31:16.096832,550
2024-11-23 17:31:21.143365,553
2024-11-23 17:31:25.710499,554
2024-11-23 17:31:30.714122,530
2024-11-23 17:31:35.776691,517
2024-11-23 17:31:40.787326,517
2024-11-23 17:31:45.813932,518
2024-11-23 17:31:50.899499,519
2024-11-23 17:31:55.917036,559
2024-11-23 17:32:01.035806,523
2024-11-23 17:32:06.171073,515
2024-11-23 17:32:10.729201,515
2024-11-23 17:32:15.812145,515
2024-11-23 17:32:20.883325,512
2024-11-23 17:32:25.966843,515
2024-11-23 17:32:31.066430,518
2024-11-23 17:32:36.102793,538
2024-11-23 17:32:40.689070,552
2024-11-23 17:32:45.737636,527
2024-11-23 17:32:50.849177,550
2024-11-23 17:32:55.878798,532
2024-11-23 17:33:00.923381,528
2024-11-23 17:33:06.002096,541
2024-11-23 17:33:11.038555,364
2024-11-23 17:33:16.118205,325
2024-11-23 17:33:21.212617,295
2024-11-23 17:33:25.780730,329
2024-11-23 17:33:30.851375,307
2024-11-23 17:33:35.975921,296
2024-11-23 17:33:41.044575,295
2024-11-23 17:33:46.134156,302
2024-11-23 17:33:51.722186,301
2024-11-23 17:33:55.846768,313
2024-11-23 17:34:00.855382,324
2024-11-23 17:34:05.911032,324
2024-11-23 17:34:16.037235,314
2024-11-23 17:34:23.573182,300
2024-11-23 17:34:26.110458,290
